date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:03	6619/6619	---M-Z	200	added ('OK')	text/css	etag:%2219db-59ecd329a2380-gzip%22	http://kotes.xyz/wp-content/themes/hello-elementor/style.min.css?ver=2.2.0	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/themes/hello-elementor/style.min3601.css	(from http://kotes.xyz/football/)
15:43:03	5249/5249	---M-Z	200	added ('OK')	text/css	etag:%221481-59ecd329a2380-gzip%22	http://kotes.xyz/wp-content/themes/hello-elementor/theme.min.css?ver=2.2.0	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/themes/hello-elementor/theme.min3601.css	(from http://kotes.xyz/football/)
15:43:03	171080/171080	---M-Z	200	added ('OK')	text/css	etag:%22f8b1d8771478c8623969b754682134fb%22	https://pro.fontawesome.com/releases/v5.12.1/css/all.css	C:/Users/admin/Desktop/Web%20Scraping/lp/pro.fontawesome.com/releases/v5.12.1/css/all.css	(from http://kotes.xyz/football/)
15:43:04	15998/15998	---M-Z	200	added ('OK')	text/css	etag:%223e7e-5a2d6c29786e4-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4c7e.css	(from http://kotes.xyz/football/)
15:43:04	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-5a2d6c2979684-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/animations/animations.minc867.css	(from http://kotes.xyz/football/)
15:43:05	109976/109976	---M-Z	200	added ('OK')	text/css	etag:%221ad98-5a2d6c2977744-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/css/frontend.minc867.css	(from http://kotes.xyz/football/)
15:43:05	297027/297027	---M-Z	200	added ('OK')	text/css	etag:%2248843-59cdfddc70100-gzip%22	http://kotes.xyz/wp-content/plugins/powerpack-elements/assets/css/frontend.css?ver=1.4.12.3	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/powerpack-elements/assets/css/frontend34d4.css	(from http://kotes.xyz/football/)
15:43:06	205484/205484	---M-Z	200	added ('OK')	text/css	etag:%22322ac-5a317a8cb7dcd-gzip%22	http://kotes.xyz/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.9.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor-pro/assets/css/frontend.minab7d.css	(from http://kotes.xyz/football/)
15:43:06	57180/57180	---M-Z	200	added ('OK')	text/css	etag:%22df5c-5a2d6c297a624-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minc867.css	(from http://kotes.xyz/football/)
15:43:07	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5a2d6c297a624-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minc867.css	(from http://kotes.xyz/football/)
15:43:07	52163/52163	---M-Z	200	added ('OK')	text/css	etag:%22cbc3-5a72b8052a8d6-gzip%22	http://kotes.xyz/wp-content/uploads/elementor/css/global.css?ver=1591180161	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/uploads/elementor/css/global2238.css	(from http://kotes.xyz/football/)
15:43:07	6145/6145	---M-Z	200	added ('OK')	text/css	etag:%221801-5a72e197cd003-gzip%22	http://kotes.xyz/wp-content/uploads/elementor/css/post-4761.css?ver=1591191321	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/uploads/elementor/css/post-4761b40c.css	(from http://kotes.xyz/football/)
15:43:07	26525/26525	---M-Z	200	added ('OK')	text/css	etag:%22201f478a3f42874f67a27708341d5e64%22	https://pro.fontawesome.com/releases/v5.12.1/css/v4-shims.css	C:/Users/admin/Desktop/Web%20Scraping/lp/pro.fontawesome.com/releases/v5.12.1/css/v4-shims.css	(from http://kotes.xyz/football/)
15:43:08	71643/71643	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2015:09:17%20GMT	https://c0.wp.com/p/jetpack/8.2.3/css/jetpack.css	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/jetpack/8.2.3/css/jetpack.css	(from http://kotes.xyz/football/)
15:43:08	96873/96873	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2004:25:54%20GMT	https://c0.wp.com/c/5.3.3/wp-includes/js/jquery/jquery.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/c/5.3.3/wp-includes/js/jquery/jquery.js	(from http://kotes.xyz/football/)
15:43:08	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://c0.wp.com/c/5.3.3/wp-includes/js/jquery/jquery-migrate.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/c/5.3.3/wp-includes/js/jquery/jquery-migrate.min.js	(from http://kotes.xyz/football/)
15:43:08	16065/16065	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e98e496-3ec1%22	https://stats.wp.com/s-202023.js	C:/Users/admin/Desktop/Web%20Scraping/lp/stats.wp.com/s-202023.js	(from http://kotes.xyz/football/)
15:43:09	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%223acf-5a2d6c297a624-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minc867.js	(from http://kotes.xyz/football/)
15:43:10	762/762	---M-Z	200	added ('OK')	text/xml	date:Wed,%2003%20Jun%202020%2013:43:09%20GMT	http://kotes.xyz/xmlrpc.php?rsd	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/xmlrpc0db0.php	(from http://kotes.xyz/football/)
15:43:10	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed485c5efd80%22	http://kotes.xyz/wp-includes/wlwmanifest.xml	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-includes/wlwmanifest.xml	(from http://kotes.xyz/football/)
15:43:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Jun%202020%2013:43:11%20GMT	http://kotes.xyz/?p=4761	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/index5c24.html	(from http://kotes.xyz/football/)
15:43:11	2151/2151	---M--	200	added ('OK')	application/json	date:Wed,%2003%20Jun%202020%2013:43:10%20GMT	http://kotes.xyz/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkotes.xyz%2Ffootball%2F	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-json/oembed/1.0/embed6615.json	(from http://kotes.xyz/football/)
15:43:11	2233/2233	---M-Z	200	added ('OK')	text/xml	date:Wed,%2003%20Jun%202020%2013:43:11%20GMT	http://kotes.xyz/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkotes.xyz%2Ffootball%2F&format=xml	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-json/oembed/1.0/embed7d1f	(from http://kotes.xyz/football/)
15:43:17	901/901	---M--	200	added ('OK')	image/png	etag:%22cf1b69f6124f7078%22	https://i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logo.png?fit=32%2C32	C:/Users/admin/Desktop/Web%20Scraping/lp/i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logo7398.png	(from http://kotes.xyz/football/)
15:43:23	4814/4814	---M--	200	added ('OK')	image/png	etag:%221364a6989e7e26f6%22	https://i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logo.png?fit=192%2C192	C:/Users/admin/Desktop/Web%20Scraping/lp/i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logoff94.png	(from http://kotes.xyz/football/)
15:43:29	4579/4579	---M--	200	added ('OK')	image/png	etag:%228074de2d3fd31362%22	https://i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logo.png?fit=180%2C180	C:/Users/admin/Desktop/Web%20Scraping/lp/i0.wp.com/kotes.xyz/wp-content/uploads/2020/03/cropped-small-logofd20.png	(from http://kotes.xyz/football/)
15:43:33	755/755	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202019%2015:04:13%20GMT	https://c0.wp.com/p/jetpack/8.2.3/_inc/build/photon/photon.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/jetpack/8.2.3/_inc/build/photon/photon.min.js	(from http://kotes.xyz/football/)
15:43:39	9566/9566	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Feb%202020%2016:59:33%20GMT	https://c0.wp.com/p/woocommerce/3.9.2/assets/js/jquery-blockui/jquery.blockUI.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/woocommerce/3.9.2/assets/js/jquery-blockui/jquery.blockUI.min.js	(from http://kotes.xyz/football/)
